jeu_vidéo,jeu_vidéoLabel,image
http://www.wikidata.org/entity/Q37229,Pekka the Rooster 2,http://commons.wikimedia.org/wiki/Special:FilePath/PekkaKana2%20LevelEditor.png
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,http://commons.wikimedia.org/wiki/Special:FilePath/Assassin%27s%20Creed%20III%20%287788130114%29.jpg
http://www.wikidata.org/entity/Q44373,Nintendo Land,http://commons.wikimedia.org/wiki/Special:FilePath/Animal%20Crossing%20-%20Sweet%20Day.jpg
http://www.wikidata.org/entity/Q45028,Halo 4,http://commons.wikimedia.org/wiki/Special:FilePath/E3%20Expo%202012%20-%20Microsoft%20booth%20-%20Halo%204%20warthog.jpg
http://www.wikidata.org/entity/Q48251,AntMe!,http://commons.wikimedia.org/wiki/Special:FilePath/AntMe%21-Ameise.png
http://www.wikidata.org/entity/Q54317,Star Wars,http://commons.wikimedia.org/wiki/Special:FilePath/Star%20Wars%20-%201983%20video%20game%20cabinet.jpg
http://www.wikidata.org/entity/Q88759,Bubble Bobble,http://commons.wikimedia.org/wiki/Special:FilePath/Bubble%20Bobble%20arcade%20machine.jpg
http://www.wikidata.org/entity/Q94778,Grand Theft Auto: Liberty City Stories,http://commons.wikimedia.org/wiki/Special:FilePath/Rockstar%20Games%20buses%20at%20E3%202005.jpg
http://www.wikidata.org/entity/Q106827,Second Life,http://commons.wikimedia.org/wiki/Special:FilePath/Second%20Life%2011th%20Birthday%20Live%20Drax%20Files%20Radio%20Hour.jpg
http://www.wikidata.org/entity/Q115508,The Idolmaster Cinderella Girls,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Idolmaster%20Cinderella%20Girls%20stage%20outfits%2C%20C3HK%2020150215a.jpg
http://www.wikidata.org/entity/Q117859,Trine,http://commons.wikimedia.org/wiki/Special:FilePath/Trine%20-%20Wizard%20Lift.jpg
http://www.wikidata.org/entity/Q119538,MineStorm,http://commons.wikimedia.org/wiki/Special:FilePath/VectrexRG2010.jpg
http://www.wikidata.org/entity/Q126194,Démineur,http://commons.wikimedia.org/wiki/Special:FilePath/KMines.png
http://www.wikidata.org/entity/Q129114,The Ball,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Ball%20-%20Screenshot%2002.jpg
http://www.wikidata.org/entity/Q130678,Basic Math,http://commons.wikimedia.org/wiki/Special:FilePath/Basic%20Math%20Atari%202600%20screenshot1a.png
http://www.wikidata.org/entity/Q130887,Killing Floor,http://commons.wikimedia.org/wiki/Special:FilePath/Killing%20Floor%20Biohazard1.jpg
http://www.wikidata.org/entity/Q721001,Phantasy Star II,http://commons.wikimedia.org/wiki/Special:FilePath/Phantasy-Star-2-1989-Game-Scene.png
http://www.wikidata.org/entity/Q731466,OXO,http://commons.wikimedia.org/wiki/Special:FilePath/Oxo.jpg
http://www.wikidata.org/entity/Q732438,Just Dance 2,http://commons.wikimedia.org/wiki/Special:FilePath/Comic-Con%202010%20-%20a%20giant%20thing%20wants%20to%20Just%20Dance%202%20%284875051816%29.jpg
http://www.wikidata.org/entity/Q732438,Just Dance 2,http://commons.wikimedia.org/wiki/Special:FilePath/Just%20Dance%202%20at%20Igromir%202010%20%285149165902%29.jpg
http://www.wikidata.org/entity/Q732438,Just Dance 2,http://commons.wikimedia.org/wiki/Special:FilePath/Just%20Dance%20Wondercon%202010.jpg
http://www.wikidata.org/entity/Q734758,Gauntlet,http://commons.wikimedia.org/wiki/Special:FilePath/GAUNTLET.jpg
http://www.wikidata.org/entity/Q740986,L'Amerzone,http://commons.wikimedia.org/wiki/Special:FilePath/Amerzone%2001%20-%20Ventousier.png
http://www.wikidata.org/entity/Q740986,L'Amerzone,http://commons.wikimedia.org/wiki/Special:FilePath/Amerzone%2002%20-%20Oiseau%20blanc.png
http://www.wikidata.org/entity/Q740986,L'Amerzone,http://commons.wikimedia.org/wiki/Special:FilePath/Amerzone%2004%20-%20Mackowski.png
http://www.wikidata.org/entity/Q740986,L'Amerzone,http://commons.wikimedia.org/wiki/Special:FilePath/Amerzone%2006%20-%20Y%C3%A9koumani.png
http://www.wikidata.org/entity/Q740986,L'Amerzone,http://commons.wikimedia.org/wiki/Special:FilePath/Amerzone%2012%20-%20Gameplay.gif
http://www.wikidata.org/entity/Q740986,L'Amerzone,http://commons.wikimedia.org/wiki/Special:FilePath/Amerzone%2013%20-%20Inventaire.png
http://www.wikidata.org/entity/Q740986,L'Amerzone,http://commons.wikimedia.org/wiki/Special:FilePath/Amerzone%2014%20-%20Hydraflot.png
http://www.wikidata.org/entity/Q740986,L'Amerzone,http://commons.wikimedia.org/wiki/Special:FilePath/Amerzone%2015%20-%20Ordinateur%20Hydraflot.png
http://www.wikidata.org/entity/Q745044,Devil World,http://commons.wikimedia.org/wiki/Special:FilePath/Famicom%20%27Devil%20World%27%20cartridge%20%285158740395%29.jpg
http://www.wikidata.org/entity/Q745374,Botanicula,http://commons.wikimedia.org/wiki/Special:FilePath/Jarom%C3%ADr%20Plach%C3%BD%20%26%20Jakub%20Dvorsk%C3%BD%20%281%29.jpg
http://www.wikidata.org/entity/Q748890,Asteroids,http://commons.wikimedia.org/wiki/Special:FilePath/Del%20Tilt%20al%20Byte%20-%208.jpeg
http://www.wikidata.org/entity/Q753850,Ataxx,http://commons.wikimedia.org/wiki/Special:FilePath/Ataxx.gif
http://www.wikidata.org/entity/Q756558,STALKER: Clear Sky,http://commons.wikimedia.org/wiki/Special:FilePath/Stalker%20Clear%20Sky%20screenshot%20god%20rays%2001.jpg
http://www.wikidata.org/entity/Q764069,Duck Hunt,http://commons.wikimedia.org/wiki/Special:FilePath/Duck%20hunt%20video%20game.jpg
http://www.wikidata.org/entity/Q764736,Paper Mario : Sticker Star,http://commons.wikimedia.org/wiki/Special:FilePath/E3%20Expo%202012%20-%20Nintendo%20Press%20Event%20-%20%287640919270%29.jpg
http://www.wikidata.org/entity/Q776131,Just Dance 3,http://commons.wikimedia.org/wiki/Special:FilePath/Just%20Dance%20Wondercon%202010.jpg
http://www.wikidata.org/entity/Q781169,Transformers : La Chute de Cybertron,http://commons.wikimedia.org/wiki/Special:FilePath/Transformers-fall-of-cybertron-20168911171%2011.jpg
http://www.wikidata.org/entity/Q782919,Spacewar!,http://commons.wikimedia.org/wiki/Special:FilePath/Spacewar%21-PDP-1-20070512.jpg
http://www.wikidata.org/entity/Q787151,JBSS BAHN,http://commons.wikimedia.org/wiki/Special:FilePath/Bahn%20screenshot.jpg
http://www.wikidata.org/entity/Q788416,DX Studio,http://commons.wikimedia.org/wiki/Special:FilePath/Editor%20full.jpg
http://www.wikidata.org/entity/Q788762,STALKER: Call of Pripyat,http://commons.wikimedia.org/wiki/Special:FilePath/S.T.A.L.K.E.R.-%20Call%20of%20Pripyat%2C%20DirectX%2011%20screenshot.jpg
http://www.wikidata.org/entity/Q1186437,Demon Attack,http://commons.wikimedia.org/wiki/Special:FilePath/DemonAttack.jpg
http://www.wikidata.org/entity/Q1188638,I Wanna Be the Guy,http://commons.wikimedia.org/wiki/Special:FilePath/A%20screen%20shot%20of%20I%20wanna%20be%20the%20guy%20remasterd.png
http://www.wikidata.org/entity/Q1191800,Para Para Paradise,http://commons.wikimedia.org/wiki/Special:FilePath/ParaParaParadise%202ndMIX.jpg
http://www.wikidata.org/entity/Q1192514,Galaxian,http://commons.wikimedia.org/wiki/Special:FilePath/Midway%20%28USA%29%20Galaxian%20arcade%20machine.jpg
http://www.wikidata.org/entity/Q1192794,Missile Command,http://commons.wikimedia.org/wiki/Special:FilePath/Missile%20Command.jpg
http://www.wikidata.org/entity/Q1198580,Dr. Mario,http://commons.wikimedia.org/wiki/Special:FilePath/Vsdrmario.jpg
http://www.wikidata.org/entity/Q1224616,Digger,http://commons.wikimedia.org/wiki/Special:FilePath/Digger.JPG
http://www.wikidata.org/entity/Q1224776,Digital Paint Paintball 2,http://commons.wikimedia.org/wiki/Special:FilePath/DP%20Paintball%202.0%20menu%20-%20main.jpg
http://www.wikidata.org/entity/Q1266882,Oxyd,http://commons.wikimedia.org/wiki/Special:FilePath/PerOxydScreenshot.png
http://www.wikidata.org/entity/Q1108806,King Arthur: The Role-Playing Wargame,http://commons.wikimedia.org/wiki/Special:FilePath/King%20Arthur%20The%20Role-playing%20Wargame%20cover%20art.jpg
http://www.wikidata.org/entity/Q1113131,Zeno Clash,http://commons.wikimedia.org/wiki/Special:FilePath/Zeno%20Clash%20-%20Corwids.jpg
http://www.wikidata.org/entity/Q1113131,Zeno Clash,http://commons.wikimedia.org/wiki/Special:FilePath/Zeno%20Clash%20-%20Father-Mother.jpg
http://www.wikidata.org/entity/Q1113131,Zeno Clash,http://commons.wikimedia.org/wiki/Special:FilePath/Zeno%20Clash%20-%20Ghat%20%26%20Deadra.jpg
http://www.wikidata.org/entity/Q1114414,Comic Party,http://commons.wikimedia.org/wiki/Special:FilePath/Comic%20Party%20logo.png
http://www.wikidata.org/entity/Q1122324,Computer Space,http://commons.wikimedia.org/wiki/Special:FilePath/Computer%20Space%201971.jpg
http://www.wikidata.org/entity/Q1130125,Snake,http://commons.wikimedia.org/wiki/Special:FilePath/Cgasnake.png
http://www.wikidata.org/entity/Q1133204,Street Fighter II : The World Warrior,http://commons.wikimedia.org/wiki/Special:FilePath/Street%20Fighter%20II%20arcade-20061027.jpg
http://www.wikidata.org/entity/Q1136685,Star Raiders,http://commons.wikimedia.org/wiki/Special:FilePath/Star%20raider%20cart.jpg
http://www.wikidata.org/entity/Q1137748,Wii Play: Motion,http://commons.wikimedia.org/wiki/Special:FilePath/Wii%20Play%20Motion%20Logo.jpg
http://www.wikidata.org/entity/Q1139866,Dofus,http://commons.wikimedia.org/wiki/Special:FilePath/Dofus%20booth%20at%20GamesCom%20%283840123521%29.jpg
http://www.wikidata.org/entity/Q1141140,Little Big Adventure,http://commons.wikimedia.org/wiki/Special:FilePath/LBA1%20-%20Gameplay%203D%20iso%20%282%29.png
http://www.wikidata.org/entity/Q1141199,Super Sprint,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20M%C3%A9canique%20185.JPG
http://www.wikidata.org/entity/Q1142106,GuitarFreaks,http://commons.wikimedia.org/wiki/Special:FilePath/GuitarFreaks%20V7%2020170726%20125150.jpg
http://www.wikidata.org/entity/Q1142287,Out Run,http://commons.wikimedia.org/wiki/Special:FilePath/Outrun-sit-down-cabinet.jpg
http://www.wikidata.org/entity/Q1157626,Daimonin,http://commons.wikimedia.org/wiki/Special:FilePath/Daimonin.png
